City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
343,byron bay,-28.65,153.6167,22.62,77,7,1.98,AU,1701895151
344,howrah,22.5892,88.3103,19.0,88,75,3.6,IN,1701895175
345,akureyri,65.6835,-18.0878,-16.04,85,0,1.03,IS,1701895176
346,namsos,64.4662,11.4957,-2.97,73,75,4.12,NO,1701895176
347,shirgaon,19.7,72.7,24.79,68,1,3.39,IN,1701895176
348,timimoun,29.2639,0.231,19.21,32,0,1.54,DZ,1701895176
349,howard springs,-12.497,131.047,25.95,96,99,1.8,AU,1701895176
350,nizhnyaya omka,55.4338,74.9426,-25.24,93,98,5.1,RU,1701895176
351,harran,36.86,39.0314,10.93,84,80,1.95,TR,1701895176
352,puerto baquerizo moreno,-0.9,-89.6,28.55,65,20,7.72,EC,1701895177
353,cadale,2.7603,46.3222,26.93,72,3,7.36,SO,1701895177
354,newborough,52.6389,-0.2233,2.47,93,100,2.57,GB,1701895177
355,porto torres,40.835,8.3972,11.1,68,21,4.85,IT,1701895177
356,horta,38.5333,-28.6333,18.8,77,75,9.26,PT,1701895177
357,temnikov,54.6302,43.2148,-21.57,100,91,1.24,RU,1701895177
